Organism,Country,Alert_Year,Current_MDR_Rate_%,Already_Above_50,ARIMA_Forecast_%,Prophet_Forecast_%,Ensemble_Mean_%,ARIMA_Alert,Prophet_Alert,Both_Models_Alert,Models_Alerting
Escherichia coli,Greece,2027,80.0,True,90.68,65.74,78.21,True,True,True,ARIMA+Prophet
Escherichia coli,Greece,2028,80.0,True,89.84,68.77,79.31,True,True,True,ARIMA+Prophet
Escherichia coli,Greece,2029,80.0,True,90.45,71.81,81.13,True,True,True,ARIMA+Prophet
Escherichia coli,Greece,2030,80.0,True,90.01,74.84,82.43,True,True,True,ARIMA+Prophet
Escherichia coli,India,2025,89.13,True,85.7,87.64,86.67,True,True,True,ARIMA+Prophet
Escherichia coli,India,2026,89.13,True,87.25,88.04,87.65,True,True,True,ARIMA+Prophet
Escherichia coli,India,2027,89.13,True,89.51,88.43,88.97,True,True,True,ARIMA+Prophet
Escherichia coli,India,2028,89.13,True,89.21,88.83,89.02,True,True,True,ARIMA+Prophet
Escherichia coli,India,2029,89.13,True,87.9,89.23,88.56,True,True,True,ARIMA+Prophet
Escherichia coli,India,2030,89.13,True,87.74,89.63,88.68,True,True,True,ARIMA+Prophet
Escherichia coli,Ireland,2025,40.0,False,47.55,51.05,49.3,False,True,False,Prophet
Escherichia coli,Ireland,2026,40.0,False,36.83,53.23,45.03,False,True,False,Prophet
Escherichia coli,Ireland,2027,40.0,False,36.83,55.41,46.12,False,True,False,Prophet
Escherichia coli,Ireland,2028,40.0,False,36.83,57.59,47.21,False,True,False,Prophet
Escherichia coli,Ireland,2029,40.0,False,36.83,59.77,48.3,False,True,False,Prophet
Escherichia coli,Ireland,2030,40.0,False,36.83,61.95,49.39,False,True,False,Prophet
Escherichia coli,Israel,2025,75.0,True,58.7,58.66,58.68,True,True,True,ARIMA+Prophet
Escherichia coli,Israel,2026,75.0,True,64.04,59.53,61.78,True,True,True,ARIMA+Prophet
Escherichia coli,Israel,2027,75.0,True,64.04,60.41,62.22,True,True,True,ARIMA+Prophet
Escherichia coli,Israel,2028,75.0,True,64.04,61.28,62.66,True,True,True,ARIMA+Prophet
Escherichia coli,Israel,2029,75.0,True,64.04,62.16,63.1,True,True,True,ARIMA+Prophet
Escherichia coli,Israel,2030,75.0,True,64.04,63.04,63.54,True,True,True,ARIMA+Prophet
Escherichia coli,Italy,2025,55.1,True,49.05,53.93,51.49,False,True,False,Prophet
Escherichia coli,Italy,2026,55.1,True,48.01,54.67,51.34,False,True,False,Prophet
Escherichia coli,Italy,2027,55.1,True,48.01,55.42,51.72,False,True,False,Prophet
Escherichia coli,Italy,2028,55.1,True,48.01,56.17,52.09,False,True,False,Prophet
Escherichia coli,Italy,2029,55.1,True,48.01,56.92,52.46,False,True,False,Prophet
Escherichia coli,Italy,2030,55.1,True,48.01,57.67,52.84,False,True,False,Prophet
Escherichia coli,"Korea, South",2025,70.37,True,63.06,74.72,68.89,True,True,True,ARIMA+Prophet
Escherichia coli,"Korea, South",2026,70.37,True,63.68,77.45,70.56,True,True,True,ARIMA+Prophet
Escherichia coli,"Korea, South",2027,70.37,True,64.09,80.18,72.14,True,True,True,ARIMA+Prophet
Escherichia coli,"Korea, South",2028,70.37,True,64.35,82.92,73.63,True,True,True,ARIMA+Prophet
Escherichia coli,"Korea, South",2029,70.37,True,64.53,85.65,75.09,True,True,True,ARIMA+Prophet
Escherichia coli,"Korea, South",2030,70.37,True,64.65,88.39,76.52,True,True,True,ARIMA+Prophet
Escherichia coli,Lithuania,2026,25.93,False,28.98,50.65,39.82,False,True,False,Prophet
Escherichia coli,Lithuania,2027,25.93,False,27.0,53.01,40.0,False,True,False,Prophet
Escherichia coli,Lithuania,2028,25.93,False,25.14,55.38,40.26,False,True,False,Prophet
Escherichia coli,Lithuania,2029,25.93,False,23.42,57.75,40.58,False,True,False,Prophet
Escherichia coli,Lithuania,2030,25.93,False,21.81,60.12,40.96,False,True,False,Prophet
Escherichia coli,Mexico,2025,82.14,True,91.63,94.72,93.18,True,True,True,ARIMA+Prophet
Escherichia coli,Mexico,2026,82.14,True,97.77,97.55,97.66,True,True,True,ARIMA+Prophet
Escherichia coli,Mexico,2027,82.14,True,100.0,100.0,100.0,True,True,True,ARIMA+Prophet
Escherichia coli,Mexico,2028,82.14,True,100.0,100.0,100.0,True,True,True,ARIMA+Prophet
Escherichia coli,Mexico,2029,82.14,True,100.0,100.0,100.0,True,True,True,ARIMA+Prophet
Escherichia coli,Mexico,2030,82.14,True,100.0,100.0,100.0,True,True,True,ARIMA+Prophet
Escherichia coli,Netherlands,2028,28.57,False,46.74,51.62,49.18,False,True,False,Prophet
Escherichia coli,Netherlands,2029,28.57,False,49.0,53.99,51.5,False,True,False,Prophet
Escherichia coli,Netherlands,2030,28.57,False,51.37,56.35,53.86,True,True,True,ARIMA+Prophet
Escherichia coli,Poland,2026,61.54,True,44.75,50.06,47.4,False,True,False,Prophet
Escherichia coli,Poland,2027,61.54,True,44.66,51.01,47.83,False,True,False,Prophet
Escherichia coli,Poland,2028,61.54,True,44.57,51.96,48.26,False,True,False,Prophet
Escherichia coli,Poland,2029,61.54,True,44.49,52.91,48.7,False,True,False,Prophet
Escherichia coli,Poland,2030,61.54,True,44.4,53.86,49.13,False,True,False,Prophet
Escherichia coli,Portugal,2028,39.02,False,51.61,44.68,48.14,True,False,False,ARIMA
Escherichia coli,Portugal,2029,39.02,False,53.96,45.74,49.85,True,False,False,ARIMA
Escherichia coli,Portugal,2030,39.02,False,56.43,46.8,51.61,True,False,False,ARIMA
Escherichia coli,Spain,2027,29.82,False,38.13,50.58,44.36,False,True,False,Prophet
Escherichia coli,Spain,2028,29.82,False,38.13,52.02,45.08,False,True,False,Prophet
Escherichia coli,Spain,2029,29.82,False,38.13,53.45,45.79,False,True,False,Prophet
Escherichia coli,Spain,2030,29.82,False,38.13,54.89,46.51,False,True,False,Prophet
Escherichia coli,Sweden,2025,21.05,False,77.4,35.16,56.28,True,False,False,ARIMA
Escherichia coli,Sweden,2028,21.05,False,100.0,40.69,70.34,True,False,False,ARIMA
Escherichia coli,Switzerland,2027,37.5,False,36.3,50.64,43.47,False,True,False,Prophet
Escherichia coli,Switzerland,2028,37.5,False,36.3,52.77,44.54,False,True,False,Prophet
Escherichia coli,Switzerland,2029,37.5,False,36.3,54.91,45.6,False,True,False,Prophet
Escherichia coli,Switzerland,2030,37.5,False,36.3,57.03,46.66,False,True,False,Prophet
Escherichia coli,Taiwan,2025,65.62,True,65.39,69.96,67.68,True,True,True,ARIMA+Prophet
Escherichia coli,Taiwan,2026,65.62,True,65.24,72.29,68.76,True,True,True,ARIMA+Prophet
Escherichia coli,Taiwan,2027,65.62,True,65.24,74.62,69.93,True,True,True,ARIMA+Prophet
Escherichia coli,Taiwan,2028,65.62,True,65.24,76.95,71.1,True,True,True,ARIMA+Prophet
Escherichia coli,Taiwan,2029,65.62,True,65.24,79.29,72.26,True,True,True,ARIMA+Prophet
Escherichia coli,Taiwan,2030,65.62,True,65.24,81.63,73.44,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2025,68.75,True,69.97,78.89,74.43,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2026,68.75,True,65.21,79.61,72.41,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2027,68.75,True,62.68,80.32,71.5,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2028,68.75,True,60.26,81.04,70.65,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2029,68.75,True,57.93,81.76,69.84,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2030,68.75,True,55.68,82.48,69.08,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2025,85.0,True,89.49,81.45,85.47,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2026,85.0,True,93.46,83.64,88.55,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2027,85.0,True,97.02,85.83,91.42,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2028,85.0,True,100.0,88.02,94.01,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2029,85.0,True,100.0,90.22,95.11,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2030,85.0,True,100.0,92.41,96.2,True,True,True,ARIMA+Prophet
Escherichia coli,United States,2026,49.65,False,52.94,51.88,52.41,True,True,True,ARIMA+Prophet
Escherichia coli,United States,2027,49.65,False,33.79,54.04,43.92,False,True,False,Prophet
Escherichia coli,United States,2028,49.65,False,56.56,56.21,56.39,True,True,True,ARIMA+Prophet
Escherichia coli,United States,2029,49.65,False,29.48,58.38,43.93,False,True,False,Prophet
Escherichia coli,United States,2030,49.65,False,61.68,60.55,61.11,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2025,77.78,True,73.27,81.23,77.25,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2026,77.78,True,73.27,83.19,78.23,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2027,77.78,True,73.27,85.15,79.21,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2028,77.78,True,73.27,87.11,80.19,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2029,77.78,True,73.27,89.08,81.18,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2030,77.78,True,73.27,91.04,82.16,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Belgium,2025,59.38,True,36.62,52.19,44.4,False,True,False,Prophet
Klebsiella pneumoniae,Belgium,2026,59.38,True,61.29,54.01,57.65,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Belgium,2027,59.38,True,35.08,55.84,45.46,False,True,False,Prophet
Klebsiella pneumoniae,Belgium,2028,59.38,True,62.92,57.66,60.29,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Belgium,2029,59.38,True,33.35,59.48,46.42,False,True,False,Prophet
Klebsiella pneumoniae,Belgium,2030,59.38,True,64.77,61.31,63.04,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Brazil,2025,65.62,True,47.56,78.08,62.82,False,True,False,Prophet
Klebsiella pneumoniae,Brazil,2026,65.62,True,46.34,79.13,62.74,False,True,False,Prophet
Klebsiella pneumoniae,Brazil,2027,65.62,True,46.34,80.18,63.26,False,True,False,Prophet
Klebsiella pneumoniae,Brazil,2028,65.62,True,46.34,81.22,63.78,False,True,False,Prophet
Klebsiella pneumoniae,Brazil,2029,65.62,True,46.34,82.27,64.31,False,True,False,Prophet
Klebsiella pneumoniae,Brazil,2030,65.62,True,46.34,83.32,64.83,False,True,False,Prophet
Klebsiella pneumoniae,Chile,2025,78.57,True,84.46,86.89,85.68,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Chile,2026,78.57,True,93.91,88.66,91.28,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Chile,2027,78.57,True,97.19,90.44,93.82,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Chile,2028,78.57,True,100.0,92.21,96.1,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Chile,2029,78.57,True,100.0,93.99,97.0,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Chile,2030,78.57,True,100.0,95.76,97.88,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,China,2025,47.06,False,36.24,60.48,48.36,False,True,False,Prophet
Klebsiella pneumoniae,China,2026,47.06,False,28.16,60.87,44.52,False,True,False,Prophet
Klebsiella pneumoniae,China,2027,47.06,False,20.91,61.26,41.08,False,True,False,Prophet
Klebsiella pneumoniae,China,2028,47.06,False,14.63,61.66,38.14,False,True,False,Prophet
Klebsiella pneumoniae,China,2029,47.06,False,9.41,62.05,35.73,False,True,False,Prophet
Klebsiella pneumoniae,China,2030,47.06,False,5.21,62.45,33.83,False,True,False,Prophet
Klebsiella pneumoniae,Colombia,2025,59.09,True,64.51,71.09,67.8,True,True,True,ARIMA+Prophet
