Country,Year,Health_Exp_PCT_GDP,Is_HIC,HIC_Mean_Exp
Bosnia and Herzegovina,2005,9.1,False,7.34
Bosnia and Herzegovina,2010,9.0,False,8.16
Bosnia and Herzegovina,2015,9.2,False,8.41
Bosnia and Herzegovina,2020,9.7,False,9.4
Bosnia and Herzegovina,2021,9.6,False,9.32
Bosnia and Herzegovina,2022,8.7,False,8.71
Botswana,2005,5.3,False,7.34
Botswana,2010,6.3,False,8.16
Botswana,2015,6.1,False,8.41
Botswana,2020,6.1,False,9.4
Botswana,2021,6.3,False,9.32
Botswana,2022,5.7,False,8.71
Brazil,2005,8.0,False,7.34
Brazil,2010,7.9,False,8.16
Brazil,2015,8.9,False,8.41
Brazil,2020,9.6,False,9.4
Brazil,2021,9.6,False,9.32
Brazil,2022,9.1,False,8.71
Brunei Darussalam,2005,2.2,False,7.34
Brunei Darussalam,2010,2.3,False,8.16
Brunei Darussalam,2015,2.4,False,8.41
Brunei Darussalam,2020,2.5,False,9.4
Brunei Darussalam,2021,2.1,False,9.32
Brunei Darussalam,2022,1.8,False,8.71
Bulgaria,2005,6.9,False,7.34
Bulgaria,2010,7.1,False,8.16
Bulgaria,2015,7.4,False,8.41
Bulgaria,2020,8.5,False,9.4
Bulgaria,2021,8.6,False,9.32
Bulgaria,2022,7.7,False,8.71
Burkina Faso,2005,4.0,False,7.34
Burkina Faso,2010,5.2,False,8.16
Burkina Faso,2015,5.1,False,8.41
Burkina Faso,2020,6.6,False,9.4
Burkina Faso,2021,6.4,False,9.32
Burkina Faso,2022,6.8,False,8.71
Burundi,2005,7.6,False,7.34
Burundi,2010,11.3,False,8.16
Burundi,2015,6.3,False,8.41
Burundi,2020,10.7,False,9.4
Burundi,2021,9.0,False,9.32
Burundi,2022,8.4,False,8.71
Cabo Verde,2005,4.5,False,7.34
Cabo Verde,2010,4.1,False,8.16
Cabo Verde,2015,4.4,False,8.41
Cabo Verde,2020,6.6,False,9.4
Cabo Verde,2021,7.3,False,9.32
Cabo Verde,2022,6.7,False,8.71
Cambodia,2005,6.2,False,7.34
Cambodia,2010,5.6,False,8.16
Cambodia,2015,4.6,False,8.41
Cambodia,2020,5.3,False,9.4
Cambodia,2021,5.5,False,9.32
Cambodia,2022,4.7,False,8.71
Cameroon,2005,3.8,False,7.34
Cameroon,2010,3.6,False,8.16
Cameroon,2015,4.1,False,8.41
Cameroon,2020,4.3,False,9.4
Cameroon,2021,4.3,False,9.32
Cameroon,2022,4.5,False,8.71
Canada,2005,9.0,True,7.34
Canada,2010,10.7,True,8.16
Canada,2015,10.8,True,8.41
Canada,2020,13.0,True,9.4
Canada,2021,12.4,True,9.32
Canada,2022,11.2,True,8.71
Central African Republic,2005,4.2,False,7.34
Central African Republic,2010,3.6,False,8.16
Central African Republic,2015,5.0,False,8.41
Central African Republic,2020,9.0,False,9.4
Central African Republic,2021,9.2,False,9.32
Central African Republic,2022,10.0,False,8.71
Chad,2005,3.6,False,7.34
Chad,2010,3.0,False,8.16
Chad,2015,3.4,False,8.41
Chad,2020,4.5,False,9.4
Chad,2021,4.2,False,9.32
Chad,2022,4.5,False,8.71
Chile,2005,6.6,False,7.34
Chile,2010,6.8,False,8.16
Chile,2015,8.4,False,8.41
Chile,2020,9.7,False,9.4
Chile,2021,9.7,False,9.32
