T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
174,Comoros,2022,Current health expenditure (% of GDP),8.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
174,Comoros,2005,Domestic general government health expenditure (% of total government expenditure),5.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
174,Comoros,2010,Domestic general government health expenditure (% of total government expenditure),2.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
174,Comoros,2015,Domestic general government health expenditure (% of total government expenditure),2.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
174,Comoros,2020,Domestic general government health expenditure (% of total government expenditure),6.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
174,Comoros,2021,Domestic general government health expenditure (% of total government expenditure),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
174,Comoros,2022,Domestic general government health expenditure (% of total government expenditure),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2005,Current health expenditure (% of GDP),1.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2010,Current health expenditure (% of GDP),1.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2015,Current health expenditure (% of GDP),2.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2020,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2021,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2022,Current health expenditure (% of GDP),2.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2005,Domestic general government health expenditure (% of total government expenditure),2.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2010,Domestic general government health expenditure (% of total government expenditure),3.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2015,Domestic general government health expenditure (% of total government expenditure),2.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2020,Domestic general government health expenditure (% of total government expenditure),8.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2021,Domestic general government health expenditure (% of total government expenditure),8.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
178,Congo,2022,Domestic general government health expenditure (% of total government expenditure),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2005,Current health expenditure (% of GDP),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2010,Current health expenditure (% of GDP),3.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2015,Current health expenditure (% of GDP),2.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2020,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2021,Current health expenditure (% of GDP),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2022,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2005,Domestic general government health expenditure (% of total government expenditure),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2010,Domestic general government health expenditure (% of total government expenditure),9.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2015,Domestic general government health expenditure (% of total government expenditure),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2020,Domestic general government health expenditure (% of total government expenditure),11.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2021,Domestic general government health expenditure (% of total government expenditure),8.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
184,Cook Islands,2022,Domestic general government health expenditure (% of total government expenditure),11.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2005,Current health expenditure (% of GDP),6.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2010,Current health expenditure (% of GDP),8.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2015,Current health expenditure (% of GDP),7.6,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2020,Current health expenditure (% of GDP),7.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2021,Current health expenditure (% of GDP),7.6,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2022,Current health expenditure (% of GDP),7.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2005,Domestic general government health expenditure (% of total government expenditure),26.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2010,Domestic general government health expenditure (% of total government expenditure),32.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2015,Domestic general government health expenditure (% of total government expenditure),29.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2020,Domestic general government health expenditure (% of total government expenditure),25.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2021,Domestic general government health expenditure (% of total government expenditure),25.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
188,Costa Rica,2022,Domestic general government health expenditure (% of total government expenditure),25.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2005,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2010,Current health expenditure (% of GDP),4.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2015,Current health expenditure (% of GDP),3.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2020,Current health expenditure (% of GDP),3.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2021,Current health expenditure (% of GDP),3.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2022,Current health expenditure (% of GDP),3.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2005,Domestic general government health expenditure (% of total government expenditure),3.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2010,Domestic general government health expenditure (% of total government expenditure),5.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2015,Domestic general government health expenditure (% of total government expenditure),4.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2020,Domestic general government health expenditure (% of total government expenditure),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2021,Domestic general government health expenditure (% of total government expenditure),7.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
384,Côte d’Ivoire,2022,Domestic general government health expenditure (% of total government expenditure),6.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2005,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2010,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2015,Current health expenditure (% of GDP),6.7,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2020,Current health expenditure (% of GDP),7.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2021,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2022,Current health expenditure (% of GDP),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2005,Domestic general government health expenditure (% of total government expenditure),12.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2010,Domestic general government health expenditure (% of total government expenditure),13.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2015,Domestic general government health expenditure (% of total government expenditure),11.7,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2020,Domestic general government health expenditure (% of total government expenditure),11.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2021,Domestic general government health expenditure (% of total government expenditure),14.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
191,Croatia,2022,Domestic general government health expenditure (% of total government expenditure),13.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2005,Current health expenditure (% of GDP),8.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2010,Current health expenditure (% of GDP),10.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2015,Current health expenditure (% of GDP),12.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2020,Current health expenditure (% of GDP),12.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2021,Current health expenditure (% of GDP),13.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2022,Current health expenditure (% of GDP),11.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2005,Domestic general government health expenditure (% of total government expenditure),11.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2015,Domestic general government health expenditure (% of total government expenditure),18.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2020,Domestic general government health expenditure (% of total government expenditure),16.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2021,Domestic general government health expenditure (% of total government expenditure),21.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
192,Cuba,2022,Domestic general government health expenditure (% of total government expenditure),21.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2005,Current health expenditure (% of GDP),5.4,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2010,Current health expenditure (% of GDP),6.5,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2015,Current health expenditure (% of GDP),6.8,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2020,Current health expenditure (% of GDP),8.8,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2021,Current health expenditure (% of GDP),9.5,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2022,Current health expenditure (% of GDP),8.9,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2005,Domestic general government health expenditure (% of total government expenditure),5.7,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2010,Domestic general government health expenditure (% of total government expenditure),7.1,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2015,Domestic general government health expenditure (% of total government expenditure),7.1,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2020,Domestic general government health expenditure (% of total government expenditure),14.2,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2021,Domestic general government health expenditure (% of total government expenditure),18.3,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
196,Cyprus,2022,Domestic general government health expenditure (% of total government expenditure),18.3,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2005,Current health expenditure (% of GDP),6.3,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2010,Current health expenditure (% of GDP),7.6,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2015,Current health expenditure (% of GDP),7.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2020,Current health expenditure (% of GDP),9.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2021,Current health expenditure (% of GDP),9.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2022,Current health expenditure (% of GDP),8.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2005,Domestic general government health expenditure (% of total government expenditure),12.8,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2010,Domestic general government health expenditure (% of total government expenditure),14.7,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2015,Domestic general government health expenditure (% of total government expenditure),14.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2020,Domestic general government health expenditure (% of total government expenditure),17.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2021,Domestic general government health expenditure (% of total government expenditure),17.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
203,Czechia,2022,Domestic general government health expenditure (% of total government expenditure),16.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2005,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2010,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2015,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2020,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2021,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2022,Current health expenditure (% of GDP),3.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2005,Domestic general government health expenditure (% of total government expenditure),2.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2010,Domestic general government health expenditure (% of total government expenditure),2.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2015,Domestic general government health expenditure (% of total government expenditure),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2020,Domestic general government health expenditure (% of total government expenditure),5.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2021,Domestic general government health expenditure (% of total government expenditure),4.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
180,Dem. Rep. of the Congo,2022,Domestic general government health expenditure (% of total government expenditure),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2005,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2010,Current health expenditure (% of GDP),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2015,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2020,Current health expenditure (% of GDP),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2021,Current health expenditure (% of GDP),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2022,Current health expenditure (% of GDP),9.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2005,Domestic general government health expenditure (% of total government expenditure),14.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2010,Domestic general government health expenditure (% of total government expenditure),15.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2015,Domestic general government health expenditure (% of total government expenditure),16.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2020,Domestic general government health expenditure (% of total government expenditure),16.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2021,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
208,Denmark,2022,Domestic general government health expenditure (% of total government expenditure),17.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2005,Current health expenditure (% of GDP),3.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2010,Current health expenditure (% of GDP),3.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2015,Current health expenditure (% of GDP),3.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2020,Current health expenditure (% of GDP),2.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2021,Current health expenditure (% of GDP),2.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2022,Current health expenditure (% of GDP),2.5,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2005,Domestic general government health expenditure (% of total government expenditure),5.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2010,Domestic general government health expenditure (% of total government expenditure),7.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2015,Domestic general government health expenditure (% of total government expenditure),4.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2020,Domestic general government health expenditure (% of total government expenditure),4.2,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2021,Domestic general government health expenditure (% of total government expenditure),3.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
262,Djibouti,2022,Domestic general government health expenditure (% of total government expenditure),5.2,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2005,Current health expenditure (% of GDP),5.0,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2010,Current health expenditure (% of GDP),5.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2015,Current health expenditure (% of GDP),5.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2020,Current health expenditure (% of GDP),6.1,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2021,Current health expenditure (% of GDP),6.3,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2022,Current health expenditure (% of GDP),6.3,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2005,Domestic general government health expenditure (% of total government expenditure),8.7,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2010,Domestic general government health expenditure (% of total government expenditure),7.4,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2015,Domestic general government health expenditure (% of total government expenditure),9.7,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
